Hex,Emoji,English Name,Myanmar Name,Keywords
1F600,😀,grinning face,ပြုံးနေသော မျက်နှာ,"ပြုံးဖြဲဖြဲ, မျက်နှာ, ပြုံး, ပျော်, ရယ်, အပြုံး"
1F603,😃,grinning face with big eyes,မျက်လုံးဝိုင်းပြီး ပြုံးနေသောမျက်နှာ,"ပြုံး, ပါးစပ်, မျက်နှာ, မျက်လုံးပြူးဖြင့် ပြုံးဖြဲဖြဲ မျက်နှာ, ဟ, ပျော်, ရယ်, ဟားဟား"
1F604,😄,grinning face with smiling eyes,မျက်လုံးလေးမှေးပြီး ပြုံးနေသောမျက်နှာ,"ပါးစပ်, မျက်နှာ, မျက်လုံး, ဟနေသည်, အပြုံး, အပြုံးမျက်လုံးများဖြင့် ပြုံးဖြဲဖြဲ မျက်နှာ, ပြုံး, ပျော်, ရယ်"
1F601,😁,beaming face with smiling eyes,သွားလေးဖြဲပြီး ပြုံးနေသောမျက်နှာ,"ပြုံး, ပြုံးဖြဲဖြဲ, မျက်နှာ, မျက်လုံးများ, အပြုံးမျက်လုံးများဖြင့် ပီတိဖြာနေသော မျက်နှာ, ရယ်, ပျော်, သွားဖြဲ"
1F606,😆,grinning squinting face,မျက်လုံးလေးမှိတ်ပြီး ရယ်နေသောမျက်နှာ,"ကျေနပ်ခြင်း, ကြိတ်မှိတ်ပြီး ပြုံးဖြဲဖြဲလုပ်နေသည့် မျက်နှာ, ပါးစပ်, မျက်စိ, မျက်စိကို ကြိတ်မှိတ်ထားသည့် ပြုံးဖြဲဖြဲ မျက်နှာ, မျက်နှာ, မျက်လုံး, ရယ်မောခြင်း, အပြုံး, ရယ်, ပျော်, ဟားဟား"
1F605,😅,grinning face with sweat,ချွေးစို့ပြီး ပြုံးနေသောမျက်နှာ,"ဇောချွေး, ဇောချွေးပြန်နေသည့် ပြုံးဖြဲဖြဲ မျက်နှာ, မျက်နှာ, ဟနေသည်, အပြုံး, အေး, ပြုံး, အားနာ, ရှက်, ချွေး"
1F923,🤣,rolling on the floor laughing,ကြမ်းပြင်ပေါ်လူးလှိမ့်ပြီး ရယ်နေခြင်း,"ကြမ်းပြင်, ကြမ်းပေါ်လှိမ့်ပြီး ရယ်နေသည်, မျက်နှာ, ရယ်မောခြင်း, လှိမ့်ခြင်း, ရယ်, ရယ်စရာ, ဟားဟား, လူးလှိမ့်"
1F602,😂,face with tears of joy,ရယ်လွန်းလို့မျက်ရည်ကျခြင်း,"ပျော်ရွှင်မှု, ပျော်ရွှင်မှု မျက်ရည်များဖြင့် မျက်နှာ, မျက်နှာ, မျက်ရည်, ရယ်ရွှင်မှု, ရယ်, ဟားဟား"
1F642,🙂,slightly smiling face,အနည်းငယ်ပြုံးနေသောမျက်နှာ,"ပြုံးနေသည်, မျက်နှာ, မသိမသာ ပြုံးနေသည့် မျက်နှာ, ပြုံး, အေးဆေး, အိုကေ"
1F643,🙃,upside-down face,ပြောင်းပြန်မျက်နှာ,"ဇောက်ထိုး, မျက်နှာ, ပြောင်းပြန်, နောက်, ရယ်စရာ"
