Hex,Emoji,English Name,Extra keywords
1F600,😀,grinning face,"ပြုံးနေသောမျက်နှာ, ရယ်မော, ပျော်ရွှင်, သွားဖြဲပြ, မျက်နှာပွင့်လန်း, ရွှင်လန်း, ပျော်ရွှင်သောမျက်နှာ, သဘောကျ, အားရပါးရ, ပြုံးရယ်နေသည်"
1F603,😃,grinning face with big eyes,"ပြုံးနေသောမျက်နှာ, ရယ်မော, ပျော်ရွှင်, သွားဖြဲပြ, မျက်နှာပွင့်လန်း, ကြည်နူး, ဝမ်းသာ, ရယ်မောခြင်း, ပျော်ရွှင်ခြင်း, မျက်နှာကြည်လင်"
1F604,😄,grinning face with smiling eyes,"ပြုံးနေသောမျက်နှာ, ရယ်မော, ပျော်ရွှင်, သွားဖြဲပြ, မျက်နှာပွင့်လန်း, ရွှင်လန်း, ပျော်ရွှင်သောမျက်နှာ, သဘောကျ, အားရပါးရ, ပြုံးရယ်နေသည်"
1F601,😁,beaming face with smiling eyes,"ပြုံးနေသောမျက်နှာ, ရယ်မော, ပျော်ရွှင်, သွားဖြဲပြ, မျက်နှာပွင့်လန်း, ကြည်နူး, ဝမ်းသာ, ရယ်မောခြင်း, ပျော်ရွှင်ခြင်း, မျက်နှာကြည်လင်"
1F606,😆,grinning squinting face,"ပြုံးနေသောမျက်နှာ, ရယ်မော, ပျော်ရွှင်, သွားဖြဲပြ, မျက်နှာပွင့်လန်း, ရွှင်လန်း, ပျော်ရွှင်သောမျက်နှာ, သဘောကျ, အားရပါးရ, ပြုံးရယ်နေသည်"
1F605,😅,grinning face with sweat,"ချွေးပြန်, အဆင်ပြေတယ်, အိုကေပါ, ရပါတယ်, ရတယ်, စိတ်လှုပ်ရှားခြင်း, အနေရခက်ခြင်း, ရှက်ကိုးရှက်ကန်း, သက်ပြင်းချခြင်း, အားတုံ့အားနာဖြစ်ခြင်း"
1F923,🤣,rolling on the floor laughing,"တဟားဟားရယ်, အူလှိုက်သည်းလှိုက်ရယ်, ရယ်လွန်းလို့ဗိုက်အောင့်, ခွီရ, အူတက်အောင်ရယ်ရ, ရယ်မောခြင်း, ပျော်ရွှင်ခြင်း, ကြည်နူး, ဝမ်းမြောက်, ရွှင်မြူးသော"
1F602,😂,face with tears of joy,"ရယ်မော, အူလှိုက်သည်းလှိုက်ရယ်, မျက်ရည်ထွက်အောင်ရယ်ရ, အရမ်းရယ်ရ, ဟာသဖြစ်, ကြည်နူး, ဝမ်းသာ, ရယ်မောခြင်း, ပျော်ရွှင်ခြင်း, မျက်နှာကြည်လင်"
1F642,🙂,slightly smiling face,"ပြုံးနေသောမျက်နှာ, ရယ်မော, ပျော်ရွှင်, သွားဖြဲပြ, မျက်နှာပွင့်လန်း, ကြည်နူး, ဝမ်းသာ, ရယ်မောခြင်း, ပျော်ရွှင်ခြင်း, မျက်နှာကြည်လင်"
1F643,🙃,upside-down face,"ပြောင်းပြန်မျက်နှာ, ရွှဲ့, သရော်, နောက်ပြောင်, စိတ်ပျက်, ရွံစရာ, သဘောမတူ, ဟန်ဆောင်ခြင်း, လှောင်ပြောင်ခြင်း, ရယ်စရာ, ရူးကြောင်ကြောင်, ထူးဆန်းသော"
